CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
734c5460,11040,29.1,308,5280,237,18,30,10.8,273,1.043,Highly Undersaturated,7500,Very Strong,0.296,0.81,3870,0.187,3610,2220,51.6,58.2,1144.46,12602.95,27661,8166.59,24,0.6,NA,0.85,0.31,NA,NA,88,124,47.3,NA,1247000,0,634700,0,4,1,NA
1a6d302f,7650,29.6,77,3700,234,38.6,760,0.3,3371,1.336,Undersaturated,72500,Strong,0.144,0.62,330,0.294,210,180,30.9,44,56.46,0,351138,0,6219,0.3,NA,0.64,0.2698,NA,NA,1,NA,21.5,21000,0,100,0,NA,10,2,43975.131161127356
7dc702b8,10070,26.6,98,5340,216,NA,20,8,87,1.032,Very Highly Undersaturated,3800,Strong,0.298,0.69,1440,0.164,1330,550,38.1,42.1,208.07,466.78,2982,0,14,0.46,0.248,NA,NA,NA,NA,9,11,46.2,65000,104200,0,0,NA,5,0,NA
91ae3743,3330,15.5,283,1820,149,42.2,350,0.9,1134,1.114,Undersaturated,58900,NA,0.156,0.72,140,0.26,90,410,57.1,63.4,234.05,626.51,61385,894.22,262,0.68,0.25,0.96,0.31,2.14,2.234,NA,NA,46.5,47000,55800,0,81600,0,21,12,NA
7634ee88,4910,13.3,52,3310,136,27.9,750,1.6,3237,1.25,Near Saturation,111100,Weak,0.152,0.57,80,0.398,60,40,34.1,40.3,14.54,43.62,8202,61.78,564,0.6,NA,NA,0.24,NA,NA,NA,0,38.6,3600,4500,NA,5600,0,NA,NA,38598.80511155979
840699cc,5160,3.4,208,2610,157,17.3,NA,NA,1114,1.052,Near Saturation,NA,Medium,0.187,0.72,340,0.387,190,70,22.3,NA,16.23,65.16,1562,0,96,0.52,0.2753,NA,0.308,NA,1.97,4,NA,22.2,7000,17900,0,0,NA,4,0,109615.4732869516
bf1dd8f1,2210,21.1,73,2150,133,43.9,520,0.8,NA,1.156,Undersaturated,81600,Weak,0.134,0.76,90,0.282,60,160,53.6,56,86,325.38,45149,433.52,525,0.67,NA,0.9323,0.46,NA,NA,NA,1,41.7,17000,30500,0,NA,NA,49,NA,9069.720435038693
c5001dd4,9420,16.3,119,4380,235,25.2,120,2.1,651,1.06,Undersaturated,21900,Very Strong,0.266,0.64,1020,NA,930,410,52.2,NA,212.78,515.79,19783,0,93,NA,NA,0.827,0.2013,2.2,1.607,6,11,53.8,39000,62800,0,0,0,6,0,83067.54482760443
514b04b3,11080,NA,137,5720,NA,27.2,380,1.7,2274,1.14,Near Saturation,38500,Medium,0.263,0.58,310,0.233,270,320,27.1,NA,85.37,26.06,30815,0,361,NA,0.2438,0.8942,0.25,NA,NA,2,NA,55.2,24000,4500,0,0,NA,8,NA,NA
60a114fb,6340,11,127,3350,173,21.4,250,6.8,NA,1.09,Near Saturation,85100,Medium,0.146,0.68,230,0.365,130,110,23.4,NA,24.85,12.52,8904,0,358,0.47,0.2816,0.7432,0.3034,NA,2.38,2,2,49,12000,3300,0,0,0,NA,0,66673.10418032244
26312243,2580,8,441,NA,125,16,130,65.5,1636,1.05,Near Saturation,119800,Weak,0.121,0.75,160,0.44,70,250,23.6,24.4,57.76,1089.43,7545,1152.39,NA,0.57,0.3199,0.6909,0.3251,NA,2.057,4,NA,58.4,28000,55500,NA,75000,0,9,5,57113.00412331475
8f1e239b,10830,15,53,5300,213,39.1,1360,0.2,4063,NA,Near Saturation,32700,Strong,0.227,0.53,280,0.196,230,110,43.1,50.6,47.72,0.13,331171,0,6940,0.22,0.2,0.9583,0.544,NA,NA,NA,NA,36.9,10000,0,0,NA,1100,12,3,37175.57448860316
d9b75df6,10140,10.6,414,4760,212,33.3,240,1,1050,1.1,Undersaturated,23300,Strong,0.282,0.43,770,0.2,740,520,52,55.8,272.39,801.64,48310,0,177,0.61,NA,NA,0.34,NA,2.45,12,NA,31.5,43000,138400,0,NA,0,5,0,86044.02377826744
250c76bf,3690,10.8,263,NA,152,35.1,290,1.3,1179,1.1032,Undersaturated,73000,Medium,0.136,0.7,230,0.317,130,230,21.4,NA,48.85,1.64,23364,0,478,0.4,0.25,NA,0.26,NA,NA,3,NA,14.3,24000,600,0,0,0,9,0,NA
38686a29,2800,17.6,142,1490,146,22.5,180,9.4,1137,1.062,Undersaturated,100200,Medium,0.125,0.69,200,0.4,100,190,13,13.1,24.29,1.67,11977,0,493,0.43,0.288,NA,0.398,NA,NA,1,2,13.2,15000,800,0,0,0,20,NA,NA
2b6e7cd5,6650,21,158,3200,189,26.5,210,3,1182,1.079,Undersaturated,62100,Medium,0.187,0.65,390,0.306,240,410,23,22.7,94.34,37.38,14561,0,154,0.41,0.253,NA,0.2399,NA,NA,NA,NA,39.4,35000,NA,0,0,NA,13,0,NA
fbb00d25,2020,12,353,1370,119,27.4,40,NA,121,1.022,Highly Undersaturated,55000,Weak,0.176,0.5,290,0.308,150,370,25.5,31.9,94.5,420.78,2642,521.54,28,0.49,0.3042,0.87,0.458,NA,NA,4,6,20.8,44000,84800,NA,131500,NA,15,NA,NA
bbb63ead,10230,19.3,145,5440,205,13.1,190,27.1,2406,1.079,Full Saturated,NA,Medium,0.244,0.71,310,0.386,220,450,23,25.8,103.97,779,14802,849.9,142,0.52,0.2829,0.69,0.255,NA,NA,2,4,47.1,55000,52600,0,54000,NA,11,4,39078.15752333951
d2975ae2,5120,38.9,361,3680,133,20.2,160,NA,1301,1.0511,Near Saturation,96600,Weak,0.188,0.71,170,0.386,120,1920,21.9,30.5,420.02,812.87,51552,1250.3,123,0.52,NA,NA,0.233,NA,NA,3,4,21.8,160000,170400,0,239000,0,26,19,17126.886781034857
1730646c,6600,16,145,3550,171,12.2,40,130.1,525,1.0343,Undersaturated,70500,Strong,0.197,0.71,680,0.377,380,270,18.5,27.3,50.75,174.81,1506,115.2,30,0.49,NA,0.897,0.2947,NA,NA,6,NA,15.7,30000,NA,0,34200,0,NA,1,83577.8765899397
66aae320,6830,19.4,166,3740,158,40.7,180,1.2,613,1.06,Highly Undersaturated,26300,Medium,0.271,0.77,260,0.196,220,880,18.4,21.5,161.65,1.43,25927,0,160,0.27,0.234,0.82,NA,NA,NA,NA,NA,53.9,99500,200,0,0,0,17,0,29359.74263009266
13486914,8110,9.6,148,3810,221,30.1,430,0.9,1901,1.16,Undersaturated,57100,Strong,0.201,0.62,330,0.273,240,200,40.9,39.8,83.37,34.48,36693,0,440,0.52,0.232,0.85,0.36,NA,NA,2,2,30.7,22000,5200,0,0,0,7,NA,62303.84871321897
4f650d85,9490,28.8,117,5220,179,27.7,460,1.9,2485,1.157,Near Saturation,67900,Medium,0.234,0.48,130,0.294,130,410,30.4,NA,125.5,132.73,43349,271.23,345,NA,0.259,0.84,0.2793,NA,NA,NA,1,25.3,35300,27100,0,34800,0,32,10,13612.172982722768
09539b90,8990,31.5,167,5010,168,16.6,100,39.4,979,1.05,Near Saturation,65300,Medium,0.281,0.65,300,0.325,260,820,10.3,NA,84.18,63.34,6358,71.65,76,0.39,0.27,NA,0.39,NA,1.681,3,3,9.1,81300,42500,0,51900,NA,10,4,NA
a1adcc29,3840,30.3,358,2740,123,20,280,17.6,1997,1.0821,Near Saturation,112900,Weak,0.148,0.62,110,0.42,70,720,25.2,28.9,180.69,1045.4,37934,1243.44,210,0.57,NA,0.8679,0.39,NA,NA,NA,3,44.8,69000,82200,0,124500,0,NA,12,20525.29828996681
09827a61,8220,25.7,237,3950,194,43,360,0.6,1215,1.13,Undersaturated,21100,Medium,0.254,0.58,380,0.182,300,810,21.7,28.1,176.55,10.28,47532,0,269,0.34,NA,NA,0.1822,4.701,NA,NA,NA,16.3,68000,2700,0,0,NA,14,0,32134.82025859994
19cd9638,7110,22,203,3520,186,32.2,340,1.3,1518,1.12,Undersaturated,61000,Medium,0.208,0.51,240,0.283,210,460,22.2,23.3,102.1,2.86,35616,0,349,0.38,0.24,NA,0.26,NA,2.38,NA,NA,26,45000,400,0,0,0,11,0,NA
d09204cd,11130,31.2,143,5890,220,37.8,1110,0.4,3979,1.406,Near Saturation,49000,None,0.254,0.7,120,0.223,NA,690,35.7,52.3,248.27,138.92,207065,473.84,834,0.49,0.257,NA,0.3565,NA,NA,NA,NA,19.6,56000,51500,0,75300,NA,27,15,17129.611561854836
98169c93,11070,15.4,60,5610,225,30.6,160,1.3,763,1.07,Undersaturated,9200,Strong,0.286,0.73,660,0.17,NA,200,42.4,42.3,85.43,180.49,10192,0,NA,NA,0.224,0.934,NA,4.36,NA,NA,NA,51.8,23000,35400,NA,NA,0,6,0,80361.18071137753
